"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",-3.47446007877607,0.518163371834034,-4.47027730380741,-3.81709631069804,-3.47281080093023,-3.12352983828823,-2.48478798646733,1.00137298939012,2300
"beta1",0.520752835771401,0.0774685178297053,0.371604897424748,0.468608686876602,0.520367261814281,0.571904323673569,0.672560644047971,1.00125231250047,2700
"deviance",1279.53616085415,10.9570810655864,1260.28038137356,1271.62084593262,1278.83936555416,1286.67521832447,1303.12653468829,1.00088112107184,3000
