"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0_orig",1.77389440803815,0.277371219918385,1.21965718614651,1.58694508367699,1.77064853869757,1.96319110667152,2.30380883284579,1.00225179849512,1100
"beta1_orig",0.000907834010470832,0.00512004323356294,-0.00917438678010083,-0.00251172842074794,0.000907879090312176,0.00424933976140918,0.0111456425040854,1.00091348853047,3000
"beta2_orig",-0.376899362683752,0.0167733330053653,-0.409746645106924,-0.388001699710418,-0.377127576849277,-0.365861244482405,-0.343678419961368,1.00116811162737,3000
"deviance",980.248979323538,10.6046372228572,962.08412422095,972.950148962999,979.359137932058,986.441357909421,1003.84939370512,1.0008662835139,3000
