"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0_orig",1.82622474286279,0.171358133310075,1.48299922612911,1.71516740782024,1.82639311089101,1.94142203789272,2.15852407652232,1.00175353033675,1600
"beta1_orig",0.262232127898738,0.122900405849555,0.0274278372084494,0.176727126039058,0.259698870942205,0.344074215673258,0.502316586655857,1.00061263914323,3000
"beta2_orig",-0.37708774287664,0.0163239241761496,-0.408336703832249,-0.388157951544321,-0.377456534249204,-0.366337171732673,-0.343008224285413,1.00209320714033,1300
"beta3_orig",-0.0556491016548233,0.011819781597667,-0.0785091356339433,-0.0635819349324523,-0.0557323284936222,-0.0474761479915392,-0.0333695949697462,1.00072205108987,3000
"deviance",956.169367641713,10.4915787741582,937.951536583459,948.870881234187,955.305679037053,962.587704111147,978.736442765369,1.00108632716041,3000
