"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",5.88220971447423,0.134055200053103,5.61244146504359,5.79388997561106,5.8818159691427,5.97063698269347,6.14376941562088,1.00155987413567,1900
"beta1",0.0244743386635493,0.00355985542588834,0.0176076573940873,0.0221241529759215,0.0244928418120232,0.0267887103418793,0.0317716579358818,1.00117125496316,3000
"beta2",0.159628652694673,0.0179724673961705,0.125005822862571,0.147474877857292,0.159304236976259,0.171775546596942,0.195133701450222,1.00220623157941,1900
"beta3",-0.0223743071619793,0.00159025366046359,-0.0254402355774907,-0.0234652465647138,-0.0223517591936292,-0.0212777830562275,-0.0192925016219851,1.00182842134238,2200
"deviance",407.264964731351,12.0297901616502,387.933633573858,399.763141079194,406.186595153308,413.757301802377,430.307666303992,1.001261383388,2600
"sigma_0",123.843090482467,4788.01725490342,2.54605173395299,4.92660837666693,8.36328767270099,17.2315987126383,230.004650614298,1.00061648726536,3000
"sigma_1",0.296366563552011,2.38202642582871,0.0229753606903888,0.0441007100099995,0.0758031071160793,0.158166937884312,1.62940039633187,1.00958661512303,340
"sigma_2",2.1894211730218,52.419867825423,0.073719528318097,0.143839062926938,0.237507096507914,0.502291870313662,5.37420510428811,1.00229982148973,3000
"sigma_3",0.294341165897605,1.86302325615658,0.0221827822332293,0.0444022762617254,0.0750641147274771,0.159599777804914,1.46413266423293,1.0004985358847,3000
