"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",-0.0166987470701884,0.066120114110542,-0.159145794868502,-0.0541503154534727,-0.0139152210310785,0.0227689776306853,0.113524603389296,1.00104581039442,3000
"beta1",0.039156977792743,0.0364367877011012,-0.0280072114406667,0.0141961036188516,0.0372341221064802,0.0627158204151051,0.114258863583765,1.00119484480517,2900
"deviance",1730.17139372428,10.1716550478932,1712.20062249502,1722.78598044789,1729.71844623896,1736.78235533018,1751.33924524686,1.00075903724252,3000
