"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",-3.45022125738182,0.536836548615912,-4.47842372413705,-3.81576602526981,-3.45054791377189,-3.07913397284551,-2.43110040441705,1.0007785489212,3000
"beta1",0.517275999395496,0.0802253744265177,0.362345150930309,0.462546035865192,0.515644257976946,0.571870174350999,0.669875944593381,1.00107388006222,3000
"deviance",1280.13857533436,11.4296727735969,1259.85183723041,1272.29596583,1279.35043385755,1287.41778891068,1304.86429671976,1.00252618279382,990
