"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0_orig",0.515532866939444,0.169633014523921,0.171989459084094,0.404066291402458,0.516645545631584,0.627235649928186,0.851815879668381,1.00243664798777,1000
"beta1_orig",0.0628193816254448,0.0892789674918686,-0.096952448933514,0.00324960075558777,0.052804396701328,0.115248393507372,0.258775146265981,1.000613025589,3000
"beta2_orig",-0.184656768292323,0.0114524611453553,-0.20759086048437,-0.192425141874611,-0.184433335494309,-0.176538815040455,-0.162829916168911,1.00100742841518,3000
"beta3_orig",-0.030671419478441,0.00817834620104116,-0.0468681330143086,-0.0361975110434662,-0.030591775523855,-0.025107970187196,-0.01446911587678,1.00073674090049,3000
"deviance",1487.35891292319,10.3520069766682,1469.35982143284,1480.204293829,1486.46571648634,1493.52150050496,1510.02673980562,1.00072816837847,3000
